"No.","Time","Source","Destination","Protocol","Length","Info","Source port","Destination port"
"1417","19.906191","192.168.100.103","192.168.100.101","TCP","60","44277  >  50001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","50001"
"1418","19.906366","192.168.100.103","192.168.100.101","TCP","60","44277  >  465 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","465"
"1419","19.906374","192.168.100.103","192.168.100.101","TCP","60","44277  >  119 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","119"
"1420","19.906592","192.168.100.103","192.168.100.101","TCP","60","44277  >  9003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","9003"
"1421","19.906600","192.168.100.103","192.168.100.101","TCP","60","44276  >  5054 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","5054"
"1422","19.906799","192.168.100.103","192.168.100.101","TCP","60","44276  >  255 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","255"
"1423","19.906937","192.168.100.103","192.168.100.101","TCP","60","44276  >  1234 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1234"
"1424","19.906942","192.168.100.103","192.168.100.101","TCP","60","44276  >  15004 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","15004"
"1425","19.907142","192.168.100.103","192.168.100.101","TCP","60","44276  >  1309 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1309"
"1426","19.910247","192.168.100.103","192.168.100.101","TCP","60","44277  >  32784 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","32784"
"1427","19.910255","192.168.100.103","192.168.100.101","TCP","60","44277  >  9503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","9503"
"1428","19.910424","192.168.100.103","192.168.100.101","TCP","60","44277  >  20005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","20005"
"1429","19.910521","192.168.100.103","192.168.100.101","TCP","60","44277  >  1971 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1971"
"1430","19.910690","192.168.100.103","192.168.100.101","TCP","60","44277  >  6009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6009"
"1431","19.910696","192.168.100.103","192.168.100.101","TCP","60","44277  >  5825 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","5825"
"1432","19.910835","192.168.100.103","192.168.100.101","TCP","60","44277  >  3659 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3659"
"1433","19.911028","192.168.100.103","192.168.100.101","TCP","60","44276  >  32770 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","32770"
"1434","19.911036","192.168.100.103","192.168.100.101","TCP","60","44276  >  1782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1782"
"1435","19.911249","192.168.100.103","192.168.100.101","TCP","60","44276  >  1864 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1864"
"1436","19.911257","192.168.100.103","192.168.100.101","TCP","60","44276  >  4126 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","4126"
"1437","19.911468","192.168.100.103","192.168.100.101","TCP","60","44276  >  20000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","20000"
"1438","19.911476","192.168.100.103","192.168.100.101","TCP","60","44276  >  50002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","50002"
"1439","19.911649","192.168.100.103","192.168.100.101","TCP","60","44276  >  1032 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1032"
"1440","19.911649","192.168.100.103","192.168.100.101","TCP","60","44276  >  6002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","6002"
"1441","19.914932","192.168.100.103","192.168.100.101","TCP","60","44277  >  1163 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1163"
"1442","19.914940","192.168.100.103","192.168.100.101","TCP","60","44277  >  3546 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3546"
"1443","19.918054","192.168.100.103","192.168.100.101","TCP","60","44277  >  4005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","4005"
"1444","19.918063","192.168.100.103","192.168.100.101","TCP","60","44277  >  8008 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8008"
"1445","19.918297","192.168.100.103","192.168.100.101","TCP","60","44277  >  6025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6025"
"1446","19.918305","192.168.100.103","192.168.100.101","TCP","60","44277  >  6101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6101"
"1447","19.918476","192.168.100.103","192.168.100.101","TCP","60","44277  >  6788 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6788"
"1448","19.920103","106.84.38.147","1.34.181.252","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"1449","19.920986","192.168.100.103","192.168.100.101","TCP","60","44277  >  7002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","7002"
"1450","19.920990","192.168.100.103","192.168.100.101","TCP","60","44277  >  18101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","18101"
"1451","19.921184","192.168.100.103","192.168.100.101","TCP","60","44277  >  8090 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8090"
"1452","19.921279","192.168.100.103","192.168.100.101","TCP","60","44277  >  7800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","7800"
"1453","19.925070","192.168.100.103","192.168.100.101","TCP","60","44277  >  1272 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1272"
"1454","19.925077","192.168.100.103","192.168.100.101","TCP","60","44277  >  6001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","6001"
"1455","19.927565","192.168.100.103","192.168.100.101","TCP","60","44277  >  56738 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","56738"
"1456","19.927579","192.168.100.103","192.168.100.101","TCP","60","44277  >  1583 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1583"
"1457","19.927795","192.168.100.103","192.168.100.101","TCP","60","44277  >  3017 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3017"
"1458","19.927803","192.168.100.103","192.168.100.101","TCP","60","44277  >  722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","722"
"1459","19.928017","192.168.100.103","192.168.100.101","TCP","60","44277  >  30951 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","30951"
"1460","19.960044","99.57.187.81","1.90.134.251","IPv4","44","IPv6 hop-by-hop options[Malformed Packet]","",""
"1461","19.988333","192.168.100.103","192.168.100.101","TCP","60","44276  >  5815 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","5815"
"1462","19.991252","192.168.100.103","192.168.100.101","TCP","60","44277  >  3800 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3800"
"1463","19.991260","192.168.100.103","192.168.100.101","TCP","60","44277  >  8443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","8443"
"1464","19.991441","192.168.100.103","192.168.100.101","TCP","60","44276  >  1085 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44276","1085"
"1465","19.994365","192.168.100.103","192.168.100.101","TCP","60","44277  >  13783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","13783"
"1466","19.994372","192.168.100.103","192.168.100.101","TCP","60","44277  >  1034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","1034"
"1467","19.998195","192.168.100.103","192.168.100.101","TCP","60","44277  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460","44277","3372"
